date_added,clean,persistent_id,name,kind,podcast,bitrate,unplayed,comments,track_number,location,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,year,artist
2022-01-04 02:36:36,True,42FBD1C66DBEB3C2,Mosiah 6,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_043_Mosiah_6.mp3,,14720,14234142,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-09-27 20:45:47,Podcast,,670000,,Restoration Archives
2022-01-04 02:36:36,True,9A480D7A7179745E,Mosiah 7,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_044_Mosiah_7.mp3,,14718,24685212,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-10-05 16:45:02,Podcast,,1193000,,Restoration Archives
2022-01-04 02:36:36,True,0C4D23961C1C7DD0,Mosiah 8,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_045_Mosiah_8.mp3,,14716,21555742,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-10-19 04:15:00,Podcast,,1036000,,Restoration Archives
2022-01-04 02:36:36,True,E1423D02BA9712D8,Mosiah 9,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_046_Mosiah_9.mp3,,14714,41032640,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-10-25 16:45:17,Podcast,,2010000,,Restoration Archives
2022-01-04 02:36:36,True,F49772E7149F4FCE,Mosiah 10,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_047_Mosiah_10.mp3,,14712,5393262,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-10-26 16:15:36,Podcast,,228000,,Restoration Archives
2022-01-04 02:36:36,True,6D28A2FA04D69703,Mosiah 11,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_048_Mosiah_11.mp3,,14710,46847498,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-11-02 23:25:34,Podcast,,2301000,,Restoration Archives
2022-01-04 02:36:36,True,5F98300568C66D67,Mosiah 12,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_049_Mosiah_12.mp3,,14708,6349344,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-11-02 23:35:51,Podcast,,276000,,Restoration Archives
2022-01-04 02:36:36,True,24BC3018FF61C8B3,Mosiah 13,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_050_Mosiah_13.mp3,,14706,16937294,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-11-08 17:35:32,Podcast,,806000,,Restoration Archives
2022-01-04 02:36:36,True,C3BBFA78AF3C52A2,Alma 1,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_051_Alma_1.mp3,,14704,29267087,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-11-11 18:11:41,Podcast,,1422000,,Restoration Archives
2022-01-04 02:36:36,True,AEF53F4B4789F4B8,Alma 2,,True,,True,,,https://media.blubrry.com/bookofmormonaudiorestorationed/bookofmormonaudio.com/podcast/episodes/BOM_052_Alma_2.mp3,,14702,8449063,,,URL,Book of Mormon Audio - Restoration Edition,,,2020-11-12 18:12:00,Podcast,,381000,,Restoration Archives
