date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,comments,location,file_folder_count,track_id,play_count,size,artwork_count,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist
2023-04-09 18:49:16,92C584DE78751ACF,What's The Recipe For Burnout?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/44395ea8-3861-41d3-9ba8-ebb1c5613b18.mp3?aid=rss_feed&feed=Ynq4lw9w,,39778,,24865643,,,URL,Compiler,,,2021-12-09 08:00:00,Podcast,,1535000,,,Red Hat
2023-04-09 18:49:16,231119EAF704572B,"Mailbag: Managers, Technical Debt",,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/299b3dc2-ea68-42f4-b8fb-b6a1c33ed48d.mp3?aid=rss_feed&feed=Ynq4lw9w,,39780,,26080475,,,URL,Compiler,,,2022-01-06 08:05:00,Podcast,,1611000,,,Red Hat
2023-04-09 18:49:16,E16805325B4AA69B,How Should We Handle Failure?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/f061a191-8402-43a9-9fcf-60c6cbada16c.mp3?aid=rss_feed&feed=Ynq4lw9w,,39782,,28101304,,,URL,Compiler,,,2022-01-20 08:00:00,Podcast,,1737000,,,Red Hat
2023-04-09 18:49:16,414E7229262409D7,Can Kubernetes Help People Find Love?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/42ef08ee-7669-48be-bc67-d1b534bcdad9.mp3?aid=rss_feed&feed=Ynq4lw9w,,39784,,23552673,,,URL,Compiler,,,2022-02-03 08:00:00,Podcast,,1453000,,,Red Hat
2023-04-09 18:49:16,DE70CC8B65A5BE56,How Can Memes Improve Security?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/4a0033d2-a36f-49d6-8d6b-da10d50a2f34.mp3?aid=rss_feed&feed=Ynq4lw9w,,39786,,29097105,,,URL,Compiler,,,2022-02-17 08:00:00,Podcast,,1799000,,,Red Hat
2023-04-09 18:49:16,E3B3398A5DDCAAE0,Command Line Heroes Presents: Relentless Replicators,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/0edd0700-c69c-439b-b6b2-ff237bf546e8.mp3?aid=rss_feed&feed=Ynq4lw9w,,39788,,25223048,,,URL,Compiler,,,2022-02-24 08:00:00,Podcast,,1568000,,,Red Hat
2023-04-09 18:49:16,60C51F3A23F0169B,What Do Kids Learn When They Learn About Tech?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/a809c3e2-a2e2-4590-ba24-31800aa51016.mp3?aid=rss_feed&feed=Ynq4lw9w,,39790,,26922508,,,URL,Compiler,,,2022-03-03 08:00:00,Podcast,,1663000,,,Red Hat
2023-04-09 18:49:16,82F9D3F4CFC03F95,How Do Roads Become Smarter?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/68e91ec8-cfff-4494-8be4-6d1963ad1d08.mp3?aid=rss_feed&feed=Ynq4lw9w,,39792,,26913271,,,URL,Compiler,,,2022-03-17 07:00:00,Podcast,,1682000,,,Red Hat
2023-04-09 18:49:16,26B5FBF9B54E1094,Who's Afraid Of Compilers?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/1b4b170e-fb76-4c2e-a63b-a90883797f2f.mp3?aid=rss_feed&feed=Ynq4lw9w,,39794,,28906171,,,URL,Compiler,,,2022-03-31 07:00:00,Podcast,,1787000,,,Red Hat
2023-04-09 18:49:16,E1ABE175E74AB26B,Are We As Productive As We Think?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/3c522230-dacc-4dc1-ab11-690fcba3eae2.mp3?aid=rss_feed&feed=Ynq4lw9w,,39796,,25830468,,,URL,Compiler,,,2022-04-14 07:00:00,Podcast,,1595000,,,Red Hat
2023-04-09 18:49:16,199B3EB8AEB6DD9C,How Bad Is Betting Wrong On The Future?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/7f66e3ef-c07e-40d6-b71c-8ea05512d6c9.mp3?aid=rss_feed&feed=Ynq4lw9w,,39798,,27408331,,,URL,Compiler,,,2022-04-28 04:00:00,Podcast,,1694000,,,Red Hat
2023-04-09 18:49:16,0B401805AA9588D1,When Should Data Die?,,True,,,True,,https://chrt.fm/track/247G8/pdst.fm/e/claritaspod.com/measure/locator.simplecastcdn.com/c2f72873-31fc-4bc6-9d40-e596dcb6b867/87cb2368-886a-4443-8a53-25e8b4683ff7.mp3?aid=rss_feed&feed=Ynq4lw9w,,39800,,30009325,,,URL,Compiler,,,2022-05-12 04:00:00,Podcast,,1856000,,,Red Hat
