date_added,persistent_id,name,kind,podcast,album_artist,bitrate,play_date_utc,unplayed,comments,location,sort_album,file_folder_count,track_id,size,artwork_count,library_folder_count,track_type,album,date_modified,release_date,genre,sample_rate,total_time,play_date,year,artist,composer
2022-01-04 02:36:34,BB759983AD35997C,Ep. 147: Economist Jeffrey Tucker: Bitcoin Will Unleash Humanity's True Potential,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._147_-_Economist_Jeffrey_Tucker_-_Bitcoin_Will_Unleash_Humanitys_True_Potential.mp3?dest-id=246682,SuperHuman Academy Podcast,,13380,28221889,,,URL,The SuperHuman Academy Podcast,,2017-11-14 11:00:00,Podcast,,2147000,,,,
2022-01-04 02:36:34,AA86B6EC163BFF14,Ep. 148: Elaina Love: The Surprising Benefits of Cleanses & Extended Fasting,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._148_-_Elaina_Love_-_The_Surprising_Benefits_of_Cleanses__Extended_Fasting.mp3?dest-id=246682,SuperHuman Academy Podcast,,13382,40631605,,,URL,The SuperHuman Academy Podcast,,2017-11-21 12:41:46,Podcast,,3181000,,,,
2022-01-04 02:36:34,4EF0B539BD8BAACF,"Ep. 149: How To Accelerate Your Learning Of Music & More w/ Zach Evans, Piano SuperHuman",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._149_-_How_To_Accelerate_Your_Learning_Of_Music__More_with_Zach_Evans_Piano_SuperHuman.mp3?dest-id=246682,SuperHuman Academy Podcast,,13384,57771001,,,URL,The SuperHuman Academy Podcast,,2017-11-28 10:58:29,Podcast,,2304000,,,,
2022-01-04 02:36:34,A8C3700DA45A9724,"Ep. 150: Tony Gaskins, Jr.: The Standards You Set Will Determine The Life (And The Love) You Lead",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._150_-_Tony_Gaskins_Jr._-_The_Standards_You_Set_Will_Determine_The_Life_And_The_Love_You_Lead.mp3?dest-id=246682,SuperHuman Academy Podcast,,13386,32559755,,,URL,The SuperHuman Academy Podcast,,2017-12-05 11:00:00,Podcast,,2508000,,,,
2022-01-04 02:36:34,EB02D5153F7F7F75,Ep. 151: I've Been Fasting For 3 Days. Here's What I've Learned (and Why I Did It),,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._151_-_Ive_Been_Fasting_For_3_Days._Heres_What_Ive_Learned_and_Why_I_Did_It.mp3?dest-id=246682,SuperHuman Academy Podcast,,13388,21318683,,,URL,The SuperHuman Academy Podcast,,2017-12-12 11:00:00,Podcast,,1572000,,,,
2022-01-04 02:36:34,B79F83C506CE2988,"Ep. 152: How To Prepare For Economic Collapse & Government Tyranny w/ Jeff Berwick, The Dollar Vigilante",,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._152_-_How_To_Prepare_For_Economic_Collapse__Government_Tyranny_With_Jeff_Berwick_The_Dollar_Vigilante.mp3?dest-id=246682,SuperHuman Academy Podcast,,13390,40631310,,,URL,The SuperHuman Academy Podcast,,2017-12-19 11:00:00,Podcast,,3181000,,,,
2022-01-04 02:36:34,4C301AC4482AC5B5,Ep. 153: How Mother Nature Will Make Us Literally SuperHuman w/ Ira Pastor of BioQuark,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._153_-_How_Mother_Nature_Will_Make_Us_Literally_SuperHuman_With_Ira_Pastor_of_BioQuark.mp3?dest-id=246682,SuperHuman Academy Podcast,,13392,27124319,,,URL,The SuperHuman Academy Podcast,,2017-12-26 11:00:00,Podcast,,2055000,,,,
2022-01-04 02:36:34,54BD938617973928,Ep. 154: Ultra Marathoner Dean Karnazes On How To Beat Your Mind,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._154_-_Ultra_Marathoner_Dean_Karnazes_On_How_To_Beat_Your_Mind.mp3?dest-id=246682,SuperHuman Academy Podcast,,13394,25100362,,,URL,The SuperHuman Academy Podcast,,2018-01-02 11:00:00,Podcast,,1887000,,,,
2022-01-04 02:36:34,178A6D0A9AC33905,Ep. 155: Flow Expert Steven Kotler On Unleashing SuperHuman Mode,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._155_-_Flow_Expert_Steven_Kotler_On_Unleashing_SuperHuman_Mode.mp3?dest-id=246682,SuperHuman Academy Podcast,,13396,45289659,,,URL,The SuperHuman Academy Podcast,,2018-01-09 11:00:00,Podcast,,3569000,,,,
2022-01-04 02:36:34,9B7067B1EF92B04A,Ep. 156: Dr. Barbara Oakley: Understanding Learning And How It Works,,True,,,,True,,https://traffic.libsyn.com/clean/secure/becomingasuperhuman/Ep._156_-_Dr._Barbara_Oakley_-_Understanding_Learning_And_How_It_Works.mp3?dest-id=246682,SuperHuman Academy Podcast,,13398,48934006,,,URL,The SuperHuman Academy Podcast,,2018-01-16 11:00:00,Podcast,,3873000,,,,
