date_added,persistent_id,name,kind,podcast,bitrate,play_date_utc,unplayed,location,file_folder_count,track_id,size,library_folder_count,track_type,album,sort_name,date_modified,release_date,genre,sample_rate,total_time,play_date,year
2022-01-04 02:36:47,CFC2CB071A9C4347,84: How Do Doctors Die?,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/How_Do_Doctors_Die.mp3?dest-id=228963,,16250,50241027,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-09-02 15:30:56,Podcast,,3138000,,
2022-01-04 02:36:47,868A8B31F3D2F4BE,85: MTHFR Gene Confusion Explained,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/MTHFR_Gene_Confusion_Explained.mp3?dest-id=228963,,16252,58032773,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-09-09 16:29:18,Podcast,,3625000,,
2022-01-04 02:36:47,E69C1DD397AA26D0,86: 12 Ways the Health Care System May Be Harming You,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/12_Ways_The_Health_Care_System_May_Be_Harming_Your_Health.mp3?dest-id=228963,,16254,48963327,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-09-16 16:28:32,Podcast,,3058000,,
2022-01-04 02:36:47,A402AD2519BF6968,87: 108 Ways Sugar is Harming Your Health,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/108_Ways_Sugar_is_Harming_Your_Health.mp3?dest-id=228963,,16256,59734578,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2016-09-23 16:33:16,Podcast,,3732000,,
2022-01-04 02:36:47,7C20C78C11BCFAF7,139: Ditch The Diet,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/139_-_Ditch_The_Diet.mp3?dest-id=228963,,16362,62006390,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-06-19 14:12:22,Podcast,,3874000,,
2022-01-04 02:36:47,D816AEEC0F69BF23,140: The Deadly Vitamin D Hysteria,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/140_-_The_Deadly_Vitamin_D_Hysteria.mp3?dest-id=228963,,16364,58059151,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-07-24 12:54:26,Podcast,,3627000,,
2022-01-04 02:36:47,EA8AF5A3EC51E838,"141: Infertility, Miscarriage, and Heart Muscle Weakness",,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/141_-_Infertility_Miscarriage_and_Muscle_Weakness.mp3?dest-id=228963,,16366,59352875,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-07-30 15:17:28,Podcast,,3708000,,
2022-01-04 02:36:47,259332381C0A95C2,142: Forbidden Gems - B4 - The Stolen Vitamin,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/142_-_B4_-_The_Stolen_Vitamin.mp3?dest-id=228963,,16368,53292308,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-08-07 12:41:35,Podcast,,3329000,,
2022-01-04 02:36:47,1EB33BB5B04A2394,143: Forbidden Musings - Plus Forbidden Sex Knowledge,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/143_-_Forbidden_Musings_-_Plus_Forbidden_Sex_Knowledge.mp3?dest-id=228963,,16370,41906525,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-08-14 11:49:05,Podcast,,2618000,,
2022-01-04 02:36:47,54CBF89450A629EC,144: Vitamin K2 Controversy and Cholophyll,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/144_-_Vitamin_K2_Controversy_and_Chlorophyl.mp3?dest-id=228963,,16372,60111399,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-08-21 13:00:41,Podcast,,3756000,,
2022-01-04 02:36:47,1C2D34E406A44918,145: Hysterectomy,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/145-Hysterectomy_-_Should_I_-_What_If_I_Did.mp3?dest-id=228963,,16374,53058211,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-08-28 11:16:07,Podcast,,3315000,,
2022-01-04 02:36:47,CF2D64FE74D54930,146: Fatty Liver Disease,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/146_-_Fatty_Liver_Disease.mp3?dest-id=228963,,16376,39809565,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-09-04 11:45:48,Podcast,,2487000,,
2022-01-04 02:36:47,55B991EA390D80A1,147: Dr. Jack Is On A Roll,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/147_-_Dr_Jack_Is_On_A_Roll.mp3?dest-id=228963,,16378,23226346,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-09-11 15:38:12,Podcast,,1450000,,
2022-01-04 02:36:47,E639F31D9E457D7F,148: Bringing Ageless Thyroid To The World,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/148_-_Bringing_Ageless_Thyroid_To_The_World.mp3?dest-id=228963,,16380,31086046,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-09-18 05:17:55,Podcast,,1942000,,
2022-01-04 02:36:47,EE26A655A328FCED,149: Strokes - Prevention & Recovery,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/149_-_Strokes_Prevention_and_Recovery.mp3?dest-id=228963,,16382,48757621,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-10-02 12:22:32,Podcast,,3046000,,
2022-01-04 02:36:47,72256CC63E80EBE2,150: GAPS Quick & Easy,,True,,2019-05-16 17:13:04,True,https://traffic.libsyn.com/secure/forbiddendoctor/150-_GAPS_-_Quick_and_Easy.mp3?dest-id=228963,,16384,26559837,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-10-08 22:49:32,Podcast,,1658000,3640849984,
2022-01-04 02:36:47,012F4FFFFCB4CD2E,151: Autoimmune Diseases and Forbidden Cures,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/151_-_Autoimmune_Diseases_and_Forbidden_Cures.mp3?dest-id=228963,,16386,33892025,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-10-15 20:19:16,Podcast,,2117000,,
2022-01-04 02:36:47,27987675E09AD615,152: Depression and the Brain,,True,,2018-10-29 19:13:49,True,https://traffic.libsyn.com/secure/forbiddendoctor/152_-_Depression_and_the_Brain_-_A_100_Year_Old_Forbidden_Remedy.mp3?dest-id=228963,,16388,62130673,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-10-25 22:02:03,Podcast,,3882000,3623663629,
2022-01-04 02:36:47,1A5A585B35F295C4,153: Asthma and Bronchitis,,True,,2018-12-03 15:58:11,True,https://traffic.libsyn.com/secure/forbiddendoctor/153_-_Ansthma_and_Bronchitis_-_Heartless_Killers.mp3?dest-id=228963,,16390,50020779,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-11-06 14:48:10,Podcast,,3125000,3626672291,
2022-01-04 02:36:47,4946AD82F30055DD,154: Inflammation - Curse or Savior?,,True,,2018-12-15 19:35:51,True,https://traffic.libsyn.com/secure/forbiddendoctor/154_-_Inflammation_-_Curse_or_Savior.mp3?dest-id=228963,,16392,32284423,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-11-13 15:50:42,Podcast,,2016000,3627722151,
2022-01-04 02:36:47,44968E055DA3A1D9,"155: What To Do When You're Really, Really Sick",,True,,2019-01-18 15:23:50,True,https://traffic.libsyn.com/secure/forbiddendoctor/155_-_What_To_Do_If_You_Are_Really_Really_Sick.mp3?dest-id=228963,,16394,58200405,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-12-11 14:51:16,Podcast,,3636000,3630644630,
2022-01-04 02:36:47,B1E4D621460DE950,156: Forbidden Understanding About Your ADHD Grandchild,,True,,2019-01-16 16:17:11,True,https://traffic.libsyn.com/secure/forbiddendoctor/156_-_Forbidden_Understanding_About_Your_ADHD_Child.mp3?dest-id=228963,,16396,52874355,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-12-18 16:01:21,Podcast,,3303000,3630475031,
2022-01-04 02:36:47,801805CE1910357D,157: Ten Reasons To Skip The Flu Shot,,True,,2019-01-16 15:20:42,True,https://traffic.libsyn.com/secure/forbiddendoctor/157-Ten_Reasons_To_Skip_The_Flu_Shot.mp3?dest-id=228963,,16398,51889722,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2018-12-23 11:00:00,Podcast,,3242000,3630471642,
2022-01-04 02:36:47,916741CB5299B164,158: What Do Oncologists Make On Chemotherapy?,,True,,2019-01-14 19:36:29,True,https://traffic.libsyn.com/secure/forbiddendoctor/158-_What_Do_Oncologists_Make_On_Chemotherapy.mp3?dest-id=228963,,16400,46434644,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-01-08 18:05:40,Podcast,,2900000,3630314189,
2022-01-04 02:36:47,9E4406D4D84F2538,159: Does My Newborn Really Need The Hep B Shot?,,True,,,True,https://traffic.libsyn.com/secure/forbiddendoctor/159-_Does_My_Newborn_Baby_Really_Need_The_Hep_B_Shot.mp3?dest-id=228963,,16402,62279484,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-01-22 03:35:49,Podcast,,3891000,,
2022-01-04 02:36:47,1E7E0657596996C1,160: You Have Been Duped And Brainwashed By Medical Propaganda,,True,,2019-05-17 14:13:09,True,https://traffic.libsyn.com/secure/forbiddendoctor/160_-_You_Have_Been_Duped_and_Brainwashed_By_Medical_Propaganda.mp3?dest-id=228963,,16404,44287615,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-01-29 14:25:12,Podcast,,2766000,3640925589,
2022-01-04 02:36:47,510D79C31661D5DF,161: Acute Problems,,True,,2019-02-16 17:56:31,True,https://traffic.libsyn.com/secure/forbiddendoctor/161_-_Acute_Problems_-_What_To_Do_When_You_Do_Not_Know_What_To_Do.mp3_.mp3?dest-id=228963,,16406,44398293,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-02-05 15:55:20,Podcast,,2773000,3633159391,
2022-01-04 02:36:47,B2E415905D9C4557,162: On The Edge of Order & Chaos,,True,,2019-05-10 19:35:25,True,https://traffic.libsyn.com/secure/forbiddendoctor/162_-_On_The_Edge_of_Order_And_Chaos.mp3?dest-id=228963,,16408,66897126,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-02-19 13:05:45,Podcast,,4179000,3640340125,
2022-01-04 02:36:47,56738F38EB7D4821,163: Enzymes - The River Of Energy,,True,,2019-05-16 18:47:08,True,https://traffic.libsyn.com/secure/forbiddendoctor/163_-_Enzymes_-_The_River_Of_Energy-addendum.mp3?dest-id=228963,,16410,35362379,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-02-26 04:00:00,Podcast,,2208000,3640855628,
2022-01-04 02:36:47,B17413C3A2F6A732,164: The Relationship Between A Healthy Spine & A Good Pain-Free LIfe,,True,,2019-05-09 19:34:15,True,https://traffic.libsyn.com/secure/forbiddendoctor/164_-_The_Relationship_Between_A_Healthy_Spine_And_A_Good_Pain-Free_Life.mp3?dest-id=228963,,16412,36432619,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-03-05 04:00:00,Podcast,,2275000,3640253655,
2022-01-04 02:36:47,24A870883C23A4BA,165: The Anti-Cancer Properties of Turmeric,,True,,2019-06-11 20:01:51,True,https://traffic.libsyn.com/secure/forbiddendoctor/165_-_The_Anti-Cancer_Properties_of_Turmeric.mp3?dest-id=228963,,16414,23488724,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-03-12 12:46:52,Podcast,,1466000,3643106511,
2022-01-04 02:36:47,2062DABE3A80A081,166: Something A Little Different,,True,,2019-05-24 14:33:20,True,https://traffic.libsyn.com/secure/forbiddendoctor/166_-_Dr-Jack-And-Mary-Interviewed2.mp3?dest-id=228963,,16416,55792697,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-03-18 18:10:49,Podcast,,3487000,3641531600,
2022-01-04 02:36:47,F86F35DC1040054A,"167: They Would Have Told Us, Right?",,True,,2019-05-17 23:47:44,True,https://traffic.libsyn.com/secure/forbiddendoctor/167_-_They_Would_Have_Told_Us_Right.mp3?dest-id=228963,,16418,57161068,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-04-02 14:03:03,Podcast,,3571000,3640960064,
2022-01-04 02:36:47,0AE81EBCF3B8BCE5,168: Iodine - The Breast-Saving Mineral,,True,,2019-05-17 22:49:11,True,https://traffic.libsyn.com/secure/forbiddendoctor/168_-_Iodine_-_The_Breast-Saving_Mineral.mp3?dest-id=228963,,16420,66043718,,URL,Forbidden Doctor: Revealing Forbidden Health Secrets!,,,2019-04-09 13:06:04,Podcast,,4126000,3640956551,
