unplayed,date_added,release_date,location,persistent_id,name,total_time,genre,podcast,play_date,track_id,play_date_utc,play_count,track_type,size,album,sort_name
True,2021-12-30 22:58:20,2021-03-10 02:39:21,https://ldsperfectday.podomatic.com/enclosure/2021-03-09T18_39_21-08_00.mp3?_=1615344022.15399056,FA2953E4E0F84DD4,Episode 72: The Gift of Healing Part 3: The Urgent Need for the Gift of Healing,1379000,Podcast,True,,8680,,,URL,16550726,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2021-03-15 02:09:44,https://ldsperfectday.podomatic.com/enclosure/2021-03-14T19_09_44-07_00.mp3?_=1615774238.15409063,134BDEF836DE537D,Episode 73: The Gift of Healing Part 4: The Oft-Neglected Link in Healing Yourself...and Others,1147000,Podcast,True,,8682,,,URL,13773079,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2021-03-28 04:14:44,https://ldsperfectday.podomatic.com/enclosure/2021-03-27T21_14_44-07_00.mp3?_=1616904908.15436402,CE36CB3144F0033D,Episode 74: He'll Always Catch You,461000,Podcast,True,,8684,,,URL,5541056,LDS Perfect Days Podcast,
True,2021-12-30 22:58:20,2021-04-04 18:09:25,https://ldsperfectday.podomatic.com/enclosure/2021-04-04T11_09_25-07_00.mp3?_=1617559799.15449344,E8F19413EB088362,Episode 75: The LDS Perfect Day BookS are now ready for purchase!,367000,Podcast,True,,8686,,,URL,4405354,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-04-12 03:00:25,https://ldsperfectday.podomatic.com/enclosure/2021-04-11T20_00_25-07_00.mp3?_=1618196479.15464146,ECA54F1CCF03C6EC,Episode 76: The Gift of Healing Part 5: The Obscure Yiddish Word I Got in a Dream Which Opens Up A New Dimension of the Gift of Healing,798000,Podcast,True,3701508561,8688,2021-04-17 18:49:21,1,URL,9578218,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-05-02 23:08:16,https://ldsperfectday.podomatic.com/enclosure/2021-05-02T16_08_16-07_00.mp3?_=1619996923.15504505,65430DB3F7B52ABA,Episode 77: The Gift of Healing Part 6: The Limitations of Medical Science and Priesthood Blessings,1307000,Podcast,True,3704857285,8690,2021-05-26 13:01:25,1,URL,15687120,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-05-24 01:07:14,https://ldsperfectday.podomatic.com/enclosure/2021-05-23T18_07_14-07_00.mp3?_=1621818483.15543068,E1DD61D7453C563B,Episode 78: The Gift of Healing Part 7: Gift of Healing Pre-Requisites,1122000,Podcast,True,3707739692,8692,2021-06-28 21:41:32,1,URL,13467342,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-06-20 21:29:56,https://ldsperfectday.podomatic.com/enclosure/2021-06-20T14_29_56-07_00.mp3?_=1624224620.15591430,77AC16FEEC36648C,Episode 79: The Gift of Healing Part 8: Eliminate False Traditions to Move Forward in Healing,1164000,Podcast,True,3708524268,8694,2021-07-07 23:37:48,1,URL,13969621,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-07-15 18:14:18,https://ldsperfectday.podomatic.com/enclosure/2021-07-15T11_14_18-07_00.mp3?_=1626372918.15630078,53294FF2114313DD,Episode 80: The Gift of Healing Part 9: Common Components of the Gift of Healing,1942000,Podcast,True,3714835404,8696,2021-09-19 00:43:24,1,URL,23311009,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-08-08 20:33:37,https://ldsperfectday.podomatic.com/enclosure/2021-08-08T13_33_37-07_00.mp3?_=1628454862.15664163,C2F8D2581A287A62,Episode 81: The Gift of Healing Part 10: Taking the Gift of Healing Beyond Mortal Expectations,1136000,Podcast,True,3715064325,8698,2021-09-21 16:18:45,1,URL,13640788,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-08-21 04:56:50,https://ldsperfectday.podomatic.com/enclosure/2021-08-20T21_56_50-07_00.mp3?_=1629521877.15682548,69A199BF93B25479,Episode 82: The Gift of Healing Part 11: Real-Life Examples of the Gift of Healing,1348000,Podcast,True,3715069538,8700,2021-09-21 17:45:38,1,URL,16179867,LDS Perfect Days Podcast,
,2021-12-30 22:58:20,2021-08-29 00:10:12,https://ldsperfectday.podomatic.com/enclosure/2021-08-28T17_10_12-07_00.mp3?_=1630195885.15693212,B92017F9AF49AECA,Episode 83: Underneath The Tip of the Iceberg,795000,Podcast,True,3715070333,8702,2021-09-21 17:58:53,1,URL,9545314,LDS Perfect Days Podcast,
